 "course" , "topic" , "lable" , "dbr_link" , "slide" , "lab" , "lecture" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab6.pdf" , "http://focu.io/data#COMP472_lab6" , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab8.pdf" , "http://focu.io/data#COMP472_lab8" , "http://focu.io/data#COMP472_lecture8" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab7.pdf" , "http://focu.io/data#COMP472_lab7" , "http://focu.io/data#COMP472_lecture7" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab5.pdf" , "http://focu.io/data#COMP472_lab5" , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reflex" , "Reflex" , "http://dbpedia.org/resource/Reflex" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reflex" , "Reflex" , "http://dbpedia.org/resource/Reflex" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-1-intro-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Data_link_layer" , "Data_link_layer" , "http://dbpedia.org/resource/Data_link_layer" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Data_link_layer" , "Data_link_layer" , "http://dbpedia.org/resource/Data_link_layer" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-7-ML-2-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture7" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Point_of_sale" , "Point_of_sale" , "http://dbpedia.org/resource/Point_of_sale" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Point_of_sale" , "Point_of_sale" , "http://dbpedia.org/resource/Point_of_sale" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#A*_search_algorithm" , "A*_search_algorithm" , "http://dbpedia.org/resource/A*_search_algorithm" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#A*_search_algorithm" , "A*_search_algorithm" , "http://dbpedia.org/resource/A*_search_algorithm" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Modem" , "Modem" , "http://dbpedia.org/resource/Modem" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Modem" , "Modem" , "http://dbpedia.org/resource/Modem" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#The_Solution_(band)" , "The_Solution_(band)" , "http://dbpedia.org/resource/The_Solution_(band)" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#The_Solution_(band)" , "The_Solution_(band)" , "http://dbpedia.org/resource/The_Solution_(band)" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Wallachia" , "Wallachia" , "http://dbpedia.org/resource/Wallachia" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Wallachia" , "Wallachia" , "http://dbpedia.org/resource/Wallachia" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Fever" , "Fever" , "http://dbpedia.org/resource/Fever" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Fever" , "Fever" , "http://dbpedia.org/resource/Fever" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Association_for_Computing_Machinery" , "Association_for_Computing_Machinery" , "http://dbpedia.org/resource/Association_for_Computing_Machinery" ,  ,  ,  ,
